barkod,naziv_spar,marka_spar,cijena_spar,akcijska_cijena_spar,kategorija_spar,naziv_kaufland,marka_kaufland,cijena_kaufland,akcijska_cijena_kaufland,kategorija_kaufland,razlika_eur,jeftiniji,razlika_posto
7702018610402,PATRONE GILLETTE MACH3 8/1,Gillette,22.49,,Kozmetika,Gillette Mach3 patrone 8/1 + gel 200ml,Gillette,2.29,,,20.2,kaufland,882.1
8006540300053,KREMA BLEND-A-D.UČV. 2x47 g,Blend a dent,7.55,,Kozmetika,Blend-A-Dent Krema za prot.original2x47g,Blend-A-Dent,0.81,,,6.74,kaufland,832.1
8006530000031,KREMA BLEND-A-D.UČV. 2x40 g,Blend a dent,7.55,,Kozmetika,Blend a Dent Krem.za protez.Duopack2x40g,Blend a Dent,0.84,,,6.71,kaufland,798.8
80751151,NAMAZ NUTELLA LJEŠNJAK 15 g,Nutella,0.55,,Hrana,Nutella Coppetta namaz u posudi 15g,Nutella,0.17,,,0.38,kaufland,223.5
9000101853476,OSVJ.WC BREF POWER AKTIV 50 g,Bref,0.99,,Sredstva za čišćenje,Bref Osvjež.WC školjke pow.act.Lemon 50g,Bref,2.39,,,-1.4,spar,141.4
9000100625166,OSVJ.WC BREF POWER AKTIV 50 g,Bref,0.99,,Sredstva za čišćenje,Bref Osvjež.WC školjke power act.Pine50g,Bref,2.39,,,-1.4,spar,141.4
4000540001341,MUSLI KOELLN VOĆ.BEZ.ŠEĆ.500 g,,5.99,,Hrana,Kolln Musli voćni bez dodatka šećera500g,Kolln,2.49,,,3.5,kaufland,140.6
3023618523591,"POSUDA ZA MAČKE 0,2 L",Vitakraft,2.12,,Proizvodi za kućanstvo,"VK Posuda za mačke, plastična 0,2l/12cm",Vitakraft,0.89,,,1.23,kaufland,138.2
3859889154222,TJEST.RAGUSA USK REZANCI 400 g,,1.79,,Hrana,Ragusa uski rezanci 400 g,Ragusa,0.77,,,1.02,kaufland,132.5
4000186032778,OKRUGLICE JUŠNE LEIMER 200 g,Leimer,2.29,,Hrana,Leimer jušne okruglice 200 g,Leimer,0.99,,,1.3,kaufland,131.3
8595241508351,RAJČICA PASIRANA GIANA 500 g,Giana,1.09,,Hrana,Giana Rajčica pasirana 500 g_OC,Giana,0.49,,,0.6,kaufland,122.4
3856020218126,TUNA SALATA EVA MEXICANA 160 g,Eva,4.25,,Hrana,Eva Tuna salata Mexicana 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020263904,TUNA SALATA EVA PROTEIN 160 g,Eva,4.25,,Hrana,Eva Tuna salata Protein 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020263874,TUNA SALATA EVA BALANCE 160 g,Eva,4.25,,Hrana,Eva Tuna salata Balance 160g,Eva,1.99,,,2.26,kaufland,113.6
3856020276720,LOSOS SALATA EVA  ASIANA 160 g,Eva,4.25,,Hrana,Eva Losos salata Asiana 160g,Eva,1.99,,,2.26,kaufland,113.6
3856020217730,TUNA SALATA EVA KUS KUS 160 g,Eva,4.25,,Hrana,Eva tuna salata kus kus 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020217617,TUNA SALATA EVA DALMAT.160 g,Eva,4.25,,Hrana,Eva Tuna salata Dalmatina 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020217679,TUNA SALATA EVA CR.KVINO.160 g,Eva,4.25,,Hrana,Eva tuna salata crvena kvinoja 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020217648,TUNA SALATA EVA MEDITER.160 g,Eva,4.25,,Hrana,Eva Tuna salata Mediterana 160 g,Eva,1.99,,,2.26,kaufland,113.6
80775010,ROLL ON BOROTALCO PURE M 50 ml,Borotalco,1.99,,Kozmetika,Borotalco Deo Roll on Pure Musky 50 ml,Borotalco,4.19,,,-2.2,spar,110.6
3600523939664,BOJA EXCELLENCE NUD.UL.8.11,EXCELLENCE NUDES,10.49,,Kozmetika,Excellence 8.11,Loreal,4.99,,,5.5,kaufland,110.2
3859889154109,TJEST.RAGUSA ŠKOLJKE 400 g,,1.59,,Hrana,Ragusa školjke 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
3859889154161,TJEST.RAGUSA PUŽIĆI 66 400 g,,1.59,,Hrana,Ragusa pužić 66 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
3859889154048,TJEST.RAGUSA PUŽIĆI 63 400 g,Paradiso,1.59,,Hrana,Ragusa pužići 63 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
3859889154055,TJEST.RAGUSA PUŽIĆI 65 400 g,Paradiso,1.59,,Hrana,Ragusa pužići 65 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
4000417700001,ČOK.RITTER CIJ.LJEŠNJ.100 g,Ritter,2.99,,Hrana,Ritter Sport čok.cijeli lješ 100 g,Ritter Sport,1.45,,,1.54,kaufland,106.2
5054563186904,ZUB.PASTA SENSODYNE 75 ml,Sensodyne,5.95,,Kozmetika,Sensodyne fluor zubna pasta 75 ml,Sensodyne,2.89,,,3.06,kaufland,105.9
5054563232908,ZUB.PASTA SENSODYNE 75 ml,Sensodyne,5.95,,Kozmetika,Sensodyne whitening zubna pasta 75 ml,Sensodyne,2.89,,,3.06,kaufland,105.9
8720181455940,ŠAM.CLEAR REFRESH LIMET.360 ml,,3.19,,Kozmetika,Clear Men Šampon Refre.greas.limeta360ml,Clear,6.49,,,-3.3,spar,103.4
8720181242007,ŠAM.CLEAR 3U1 ACTIVE CL.360 ml,,3.19,,Kozmetika,Clear Men Šampon 3u1 Active Clean 360ml,Clear,6.49,,,-3.3,spar,103.4
8720181241970,ŠAM.CLEAR ACTIVE COOL 360 ml,,3.19,,Kozmetika,Clear Men Šampon Active Cool ment.360ml,Clear,6.49,,,-3.3,spar,103.4
8720181455926,ŠAM.CLEAR 24H FRESH 360 ml,,3.19,,Kozmetika,Clear Men Šampon 24h Fresh 360 ml,Clear,6.49,,,-3.3,spar,103.4
8720181455896,ŠAM.CLEAR DEEP CLEAN 360 ml,,3.19,,Kozmetika,Clear Men Šampon Deep Clean 360 ml,Clear,6.49,,,-3.3,spar,103.4
8720181455964,ŠAM.CLEAR CLASIC ACTION 360 ml,,3.19,,Kozmetika,Clear Men Šampon 2u1 Classic Acti.360ml,Clear,6.49,,,-3.3,spar,103.4
8720181455889,ŠAM.CLEAR ANTI HAIRFALL 360 ml,,3.19,,Kozmetika,Clear Men Šampon Anti Hairfall 360ml,Clear,6.49,,,-3.3,spar,103.4
8718951048522,SRE.AJAX STAKLO CRYS.C.750 ml,Ajax,2.59,,Sredstva za čišćenje,Ajax za staklo chrystal trigg.750ml,Ajax,1.29,,,1.3,kaufland,100.8
9000101836783,PARFEM SILAN ZA RUBLJE 540 ml,Silan,2.99,,Sredstva za čišćenje,Silan Sel.Parfem za rubl.Blue Jasm.540ml,Silan Selection,5.99,,,-3.0,spar,100.3
9000101836738,PARFEM SILAN ZA RUBLJE 540 ml,Silan,2.99,,Sredstva za čišćenje,Silan Sel.Parfem za rubl.Diam.Orch.540ml,Silan Selection,5.99,,,-3.0,spar,100.3
3600523724871,BOJA ZA KOSU EXCELLENCE 5.3,LOREAL,9.99,,Kozmetika,Excellence 5.3,Loreal,4.99,,,5.0,kaufland,100.2
3600523731848,BOJA ZA KOSU LOREAL EXCE.100,LOREAL,9.99,,Kozmetika,Excellence 100,Loreal,4.99,,,5.0,kaufland,100.2
3600523724932,BOJA ZA KOSU LOREAL EXCE.01,Loeral,9.99,,Kozmetika,Excellence 01 Pure Blonds,Excellence,4.99,,,5.0,kaufland,100.2
3600523724901,BOJA ZA KOSU LOREAL EXCE.8,LOREAL,9.99,,Kozmetika,Excellence 8,Loreal,4.99,,,5.0,kaufland,100.2
3600523724918,BOJA EXCELLENCE 9.1,LOREAL,9.99,,Kozmetika,Loreal Boja za kosu Excellence 9.1,Loreal,4.99,,,5.0,kaufland,100.2
3600523724895,BOJA ZA KOSU EXCELLENCE 9,LOREAL,9.99,,Kozmetika,Excellence 9,Loreal,4.99,,,5.0,kaufland,100.2
3600523724888,FARBA EXCELLENCE 7,LOREAL,9.99,,Kozmetika,Excellence 7,Loreal,4.99,,,5.0,kaufland,100.2
3600523731879,BOJA EXCELLENCE 500,LOREAL,9.99,,Kozmetika,Excellence 500,Loreal,4.99,,,5.0,kaufland,100.2
3600523724864,BOJA EXCELLENCE 7.1,LOREAL,9.99,,Kozmetika,"Loreal Boja za kosu Excellence 7,1",Loreal,4.99,,,5.0,kaufland,100.2
3600523731862,BOJA ZA KOSU LOREAL EXCE.400,LOREAL,9.99,,Kozmetika,Excellence 4 Chatain,Excellence,4.99,,,5.0,kaufland,100.2
3600523956708,BOJA ZA KOSU LOREAL EXCE.7.43,LOREAL,9.99,,Kozmetika,Excellence boja 7.43 bakreno plava,Excellence,4.99,,,5.0,kaufland,100.2
3600523724963,BOJA ZA KOSU EXCELLENCE 8.1,LOREAL,9.99,,Kozmetika,Excellence 8.1,Loreal,4.99,,,5.0,kaufland,100.2
3600523731886,BOJA ZA KOSU LOREAL EXCE.600,LOREAL,9.99,,Kozmetika,Excellence 600,Loreal,4.99,,,5.0,kaufland,100.2
9000101850086,"GEL SOMAT LEMON 1,08 L",Somat,12.99,,Sredstva za čišćenje,Somat Det.za pos.Duo Lemon 2x540ml,Somat,25.99,,,-13.0,spar,100.1
9000101807998,TAB.SOMAT EXCELLENCE 50/1,Somat,12.99,,Sredstva za čišćenje,Somat Kapsule za pra.posuđ.Exc.4u1 50/1,Somat,25.99,,,-13.0,spar,100.1
9000101809053,TAB.SOMAT EXCELLENCE 42/1,Somat,12.99,,Sredstva za čišćenje,Somat Kapsule za pr.posuđa Exc.Prem.42/1,Somat,25.99,,,-13.0,spar,100.1
9000101809343,TAB.SOMAT ALL IN ONE EXTR.75/1,Somat,12.99,,Sredstva za čišćenje,Somat Det.za pos.All in One Extra 75/1,Somat,25.99,,,-13.0,spar,100.1
9000101808087,TAB.SOMAT EXCELLENCE 60/1,Somat,14.49,,Sredstva za čišćenje,Somat Kapsule za pranje posuđa 4in1 60/1,Somat,28.99,,,-14.5,spar,100.1
9000101807936,TAB.SOMAT EXCELLENCE 54/1,Somat,14.49,,Sredstva za čišćenje,Somat Kapsule za pranje posuđa 5in1 54/1,Somat,28.99,,,-14.5,spar,100.1
3850102017126,KEK.DOM.ORI.KRAŠ VALENT. 300 g,,3.79,,Hrana,Domaćica Čaj.pecivo Original Ljubav300g,Domaćica,1.99,,,1.8,kaufland,90.5
8006980371224,KAVA HAUSBRANDT QUA.ROSA 250 g,Hausbrandt,7.49,,Pića,Hausbrandt Kava mljeve.Qualita rossa250g,Hausbrandt,4.01,,,3.48,kaufland,86.8
9000101375299,OSV.WC BREF DE LUXE MAG.3x50 g,Bref,4.29,,Sredstva za čišćenje,Bref Osvje.za WC DeLuxe magnolia 3x50 g,Bref,7.99,,,-3.7,spar,86.2
8006980153356,KAVA HAUSBRANDT Q.ROSSA 500 g,Hausbrandt,15.49,,Pića,Hausbrandt Kava u zrnu Rossa500g,Hausbrandt,8.39,,,7.1,kaufland,84.6
3850105186614,"OMEKŠ.ORNEL GLOW 1,6 L",Ornel,2.79,,Sredstva za čišćenje,"Ornel Omekšivač rublja Glow 1,6L",Ornel,5.09,,,-2.3,spar,82.4
9000101582642,"OME.SILAN FRANGIPANI 1,364 L",Silan,3.29,,Sredstva za čišćenje,Silan Omekšivač Frangipani 62pr.1364ml,Silan,5.99,,,-2.7,spar,82.1
9000101582574,"OME.SILAN MALDIVES 1,364 L",Silan,3.29,,Sredstva za čišćenje,Silan Omekšivač Maldives 62pr.1364ml,Silan,5.99,,,-2.7,spar,82.1
9000101590272,"OME.SILAN SENSITIVE.1,672 L",Silan,3.29,,Sredstva za čišćenje,Silan Omekšivač Sensitiv Baby76pr.1672ml,Silan,5.99,,,-2.7,spar,82.1
9000101581539,"OME.SILAN FRESH SKY 1,672 L",Silan,3.29,,Sredstva za čišćenje,Silan Omekšivač Fresh Sky 76pr 1672ml,Silan,5.99,,,-2.7,spar,82.1
7702018425198,BRIJAČ GILLETTE PROGL.+10 PAT,Gillette,53.99,,Kozmetika,Gillette Brijač i 10 patrona Proglide,Gillette,29.99,,,24.0,kaufland,80.0
3870128033856,DET.VESH GEL COLOR 3 L,Vesh,9.99,,Sredstva za čišćenje,Vesh Deterdž. za rublje tek.Color60pr.3L,Vesh,17.89,,,-7.9,spar,79.1
3870128037298,KAP.VESH WHITE 42/1,Vesh,9.99,,Sredstva za čišćenje,Vesh Kapsule za rublje white power 42/1,Vesh,17.89,,,-7.9,spar,79.1
3870128033948,DET.VESH GEL WHITE 3 L,Vesh,9.99,,Sredstva za čišćenje,Vesh Deter.za pranje rub.tek.White60pr3L,Vesh,17.89,,,-7.9,spar,79.1
3870128037359,KAP.VESH COLOR 42/1,Vesh,9.99,,Sredstva za čišćenje,Vesh Kapsule za rublje color power 42/1,Vesh,17.89,,,-7.9,spar,79.1
3850102002139,DRAŽ.CHOCO SELECT.KRAŠ 350 g,Kraš,12.49,,Hrana,Kraš Dražeje choco 350 g,Kraš,6.99,,,5.5,kaufland,78.7
4014400932959,TOFFIFEE BIJELA ČOKOLADA 125 g,Toffifee,2.99,,Hrana,Toffifee Bombonijera White Chocolate125g,Toffifee,1.69,,,1.3,kaufland,76.9
8076809513746,PESTO BARILLA GENOVESE 190 g,,4.79,,Hrana,Barilla Pesto genovese 190 g,Barilla,2.75,,,2.04,kaufland,74.2
8076809581868,PESTO BARILLA BOS.PISTAC.190 g,Barilla,4.79,,Hrana,Barilla Umak Pesto bosiljak i pistac190g,Barilla,2.75,,,2.04,kaufland,74.2
8076809523547,PESTO BARILLA ROSSO 200 g,Barilla,4.79,,Hrana,Barilla Pesto rosso 200 g,Barilla,2.75,,,2.04,kaufland,74.2
8076809578264,PESTO PEPERONCINO BARIL. 195 g,Barilla,4.79,,Hrana,"Barilla Pesto basilico,peperoncino 195g",Barilla,2.75,,,2.04,kaufland,74.2
5907731602310,CORNFLAKES ENCIAN 500 g,Encian,3.79,,Hrana,Encian Corn flakes kukur.pahulj.500g_OC,Encian,2.19,,,1.6,kaufland,73.1
3870128035362,"DET.TETA VIOLETA COLOR 1,8 L",Teta Violeta,3.99,,Sredstva za čišćenje,"Violeta Deterdž.tek.Prote.Color30pr.1,8L",Violeta,6.89,,,-2.9,spar,72.7
3870128035393,"DET.TETA VIOLETA BLACK 1,8 L",Violeta,3.99,,Sredstva za čišćenje,"Violeta Deterdž.tek.Prote.Black30pr.1,8L",Violeta,6.89,,,-2.9,spar,72.7
5999109562814,SRE.VANISH PINK 970 g,Vanish,15.49,,Sredstva za čišćenje,Vanish Praš.za ods.mrlj.Oxi ac.pink970g,Vanish,8.99,,,6.5,kaufland,72.3
5999109562821,SRE.VANISH WHITE 970 g,Vanish,15.49,,Sredstva za čišćenje,Vanish Praš.za ods.mrlj.Oxi ac.white970g,Vanish,8.99,,,6.5,kaufland,72.3
5907609338471,KREMA EVELINE ZA RUKE 100 ml,Eveline,1.89,,Kozmetika,Eveline Krema glicerini aloe v.100ml_OC,Eveline,1.1,,,0.79,kaufland,71.8
9000101599091,"DET.PERSIL COLOR 2,97 L",Persil,13.99,,Sredstva za čišćenje,"Persil Det.za rub.Color XXL 66p.2,97L",Persil,23.99,,,-10.0,spar,71.5
4008239230201,KOBASA VITAKRAFT ZA PSA 1 kg,Vitakraft,3.79,,Proizvodi za kućanstvo,"VK kobasica za pse, active,1kg",Vitakraft,2.21,,,1.58,kaufland,71.5
9000101566819,"DET.PERSIL FRESHNESS 2,7 L",Persil,13.99,,Sredstva za čišćenje,"Persil Det.za rub.Expert XXL 60p.2,7L",Persil,23.99,,,-10.0,spar,71.5
9000101386356,DET.PUR CHEF LEMON 750 ml,Pur,1.99,,Sredstva za čišćenje,"Pur det.za suđe limun, 750 ml",Pur,3.39,,,-1.4,spar,70.4
4008239593436,LOPATICA ZA PIJESAK,Vitakraft,1.89,,Proizvodi za kućanstvo,"VK lopatica za posipanje, teška",Vitakraft,1.11,,,0.78,kaufland,70.3
7613036936750,MAČJA HRANA ONE LOS.MRK.85 g,One,1.19,,Proizvodi za kućanstvo,One sterile mačka losos&mrkva 85 g,One Sterile,0.7,,,0.49,kaufland,70.0
7613036936811,MAČJA HRANA ONE PIL.MAH.85 g,One,1.19,,Proizvodi za kućanstvo,One za mačke Adult pile&mahune 85 g,One Cat,0.7,,,0.49,kaufland,70.0
7613036936835,MAČJA HRANA ONE PIL.MRK.85 g,One,1.19,,Proizvodi za kućanstvo,One Sensitiv za mačku pile&mrkva 85 g,One,0.7,,,0.49,kaufland,70.0
7613036936781,MAČJA HRANA ONE TUNA MAH.85 g,One,1.19,,Proizvodi za kućanstvo,One za mačke tuna&mahune indoor 85 g,One Indoor,0.7,,,0.49,kaufland,70.0
8720181555596,DEO SP.AXE KENOBI AQUA 150 ml,Axe,3.39,,Kozmetika,Axe Deo u spreju Aqua Bergamont 150ml,Axe,5.69,,,-2.3,spar,67.8
8720181555602,DEO SP.AXE KENOBI B.LAV.150 ml,Axe,3.39,,Kozmetika,Axe Deo u spreju Blue Lavander 150ml,Axe,5.69,,,-2.3,spar,67.8
8720181418402,DEO SP.AXE KENOBI B.VAN.150 ml,Axe,3.39,,Kozmetika,Axe Deo u spreju Black Vanilla 150ml,Axe,5.69,,,-2.3,spar,67.8
7613287192561,MAJONEZA THOMY VREĆICA 80 g,Thomy,0.71,,Hrana,Thomy majoneza vrećica 80 g,Thomy,1.19,,,-0.48,spar,67.6
5908252011025,TAB.FINISH ULTIMATE PLUS 90/1,Finish,33.49,,Sredstva za čišćenje,Finish Kapsule Ultimate Plus Lemon 90/1,Finish,19.99,,,13.5,kaufland,67.5
3859893838002,RIŽ.MEDITERAN MIX VG FRY 200 g,,1.99,,Hrana,VG Fryer Rižoto Mediteran bez glut.200g,VG Fryer,1.19,,,0.8,kaufland,67.2
8007229009557,VREĆICE ZA IZMET 3X20 KOM,Vitakraft,2.39,,Proizvodi za kućanstvo,"VK vrećice za izmet,3x20kom",Vitakraft,1.43,,,0.96,kaufland,67.1
5997321740690,SRED.CILLIT BANG LIME 750 ml,Cillit,4.99,,Sredstva za čišćenje,Cillit bang za kamenac spray750 ml,Cillit Bang,2.99,,,2.0,kaufland,66.9
5999109510075,SRED.CILLIT BANG 750 ml,Cillit,4.99,,Sredstva za čišćenje,"Cillit bang natural.sprej, kupaon. 750ml",Cillit Bang,2.99,,,2.0,kaufland,66.9
8006980152335,KAPSULE HAUSBRANT UNICO 55 g,Hausbrandt,4.99,,Pića,"Hausbrandt Kava kapsule Unico 10x5,5g",Hausbrandt,2.99,,,2.0,kaufland,66.9
3059940003609,CILLIT BANG S&M TRIGGER 750 ml,Cilit,4.99,,Sredstva za čišćenje,Cillit bang izbjeljiv. i higijenu 750 ml,Cillit Bang,2.99,,,2.0,kaufland,66.9
8006980152328,KAPS.HAUSBRANDT COLOMBIA 50 g,Hausbrandt,4.99,,Pića,Hausbrandt Kava kapsule Colombia 10x5g,Hausbrandt,2.99,,,2.0,kaufland,66.9
8006980281059,KAPSULE HAUSBRANDT INTEN. 50 g,Hausbrandt,4.29,,Pića,Hausbrandt kapsule intenso   10/1 50 g,Hausbrandt,2.57,,,1.72,kaufland,66.9
8006980370357,KAPSUL.HAUSBRANDT SUBLIME 50 g,Hausbrandt,4.29,,Pića,Hausbrandt Kapsule Subl.100%Arabica10x5g,Hausbrandt,2.57,,,1.72,kaufland,66.9
8006980279056,KAP.HAUSBRANDT BEZ KOF. 50 g,Hausbrandt,4.29,,Pića,Hausbrandt kapsule bez kofeina 10/1 50 g,Hausbrandt,2.57,,,1.72,kaufland,66.9
8700216211277,ŠAM.HERBAL ESSENCE ROSE 350 ml,Herbal Essences,4.49,,Kozmetika,Herbal Essences Šampon za kosu Rose350ml,Herbal Essences,2.69,,,1.8,kaufland,66.9
8714789880488,ŠAMPON PALMOLIVE APPLE 350 ml,Palmolive,3.99,,Kozmetika,Palmolive šampon apple 350ml,Palmolive,2.39,,,1.6,kaufland,66.9
8718951576919,ŠAMPON PALMOLIVE PROTIV 350 ml,Palmolive,3.99,,Kozmetika,Palmolive šampon protiv prhuti 350ml,Palmolive,2.39,,,1.6,kaufland,66.9
8714789880464,ŠAMP.PALMOLIVE CITRUS 350 ml,Palmolive,3.99,,Kozmetika,Palmolive šampon citrus 350ml,Palmolive,2.39,,,1.6,kaufland,66.9
3850102010004,ČOK.DORINA PETIT BEURRE 240 g,Dorina,4.99,,Hrana,Dorina Čokolada Petit Beurre 240g,Dorina,2.99,,,2.0,kaufland,66.9
3850102519552,ČOK.DORINA NAPOLITANKE 290 g,Dorina,4.99,,Hrana,Dorina čokolada napolitanke 290 g,Dorina,2.99,,,2.0,kaufland,66.9
5900627067309,SRE.CILIT BANG ZA UKL.P.750 ml,Cilit,4.99,,Sredstva za čišćenje,Cillit Bang Sprej za uklan.plijesni750ml,Cillit Bang,2.99,,,2.0,kaufland,66.9
5201044012683,ČOK.PRO.SNA.LJEŠNJAK SPEC.70 g,,4.99,,Hrana,Pellito Prot.ploč.čok.Lješnjak Specu.70g,Pellito,2.99,,,2.0,kaufland,66.9
8700216211345,ŠAM.HERBAL ESSENCE ARGA.350 ml,Herbal Essences,4.49,,Kozmetika,Herbal Essences Šamp.za kosu Argan350ml,Herbal Essences,2.69,,,1.8,kaufland,66.9
8700216211024,REG.HERBAL ESSENCE ROSE 250 ml,Herbal Essences,4.49,,Kozmetika,Herbal Essences Balzam za kosu Rose250ml,Herbal Essences,2.69,,,1.8,kaufland,66.9
8700216211161,REG.HERBAL ESSENCE ARG.250 ml,Herbal Essences,4.49,,Kozmetika,Herbal Essences Balz.za kosu Argan250ml,Herbal Essences,2.69,,,1.8,kaufland,66.9
8700216210393,REG.HERBAL ESSENCE COCO 250 ml,Herbal Essences,4.49,,Kozmetika,Herbal Essences Balzam za kosu Coco250ml,Herbal Essences,2.69,,,1.8,kaufland,66.9
3850102010011,ČOK.DORINA JAGODA VANILI.245 g,Dorina,4.99,,Hrana,Dorina čokolada Jagoda&vanilija 245g,Dorina,2.99,,,2.0,kaufland,66.9
7613035219816,POSLASTICA ZA PSE FRISK.42 g,Friskies,0.85,,Proizvodi za kućanstvo,Friskies Poslas.za pse picnic gov.sp 42g,Friskies,0.51,,,0.34,kaufland,66.7
4000487223349,POSLASTICA ZA PSE FRISK.42 g,Friskies,0.85,,Proizvodi za kućanstvo,Friskies Poslas.za pse Picnic pilet.42g,Friskies,0.51,,,0.34,kaufland,66.7
3838945511391,KAŠICA FRUTEK JAB.KEKS 190 g,Fructal,1.05,,Hrana,Frutek kašica jabuka-piškoti 190 g,Frutek,1.75,,,-0.7,spar,66.7
7702018425761,BRIJAČ GILLETTE FUSION+11 PAT.,Gillette,49.99,,Kozmetika,Gillette Brijač i 11 patrona Fusion 5,Gillette,29.99,,,20.0,kaufland,66.7
8006980153851,KAVA HAUSBRANDT U ZRNU 500 g,Hausbrandt,16.49,,Pića,Hausbrandt Kava u zrnu H.Hausbr.500g,Hausbrandt,9.89,,,6.6,kaufland,66.7
8006980153158,KAVA ZRNO HAUSB.ORO CASA 500 g,Hausbrandt,15.49,,Pića,Hausbrandt Kava u zrnu Oro Casa 500g,Hausbrandt,9.29,,,6.2,kaufland,66.7
3850105186522,OMEK.ORNEL GLOW 800 ml,Ornel,1.99,,Sredstva za čišćenje,Ornel Omekšivač rublja Glow 800ml,Ornel,3.29,,,-1.3,spar,65.3
5900020033956,"PLOČ.FIT.CHOCO&BAN NES.23,5 g",Nestle,0.99,,Hrana,"Nestle Fitness Choco banana bar 23,5 g",Nestle,0.6,,,0.39,kaufland,65.0
9000101567335,"DET.PERSIL COLOR 4,5 L",Persil,19.99,,Sredstva za čišćenje,"Persil Deterdž.za rublje Color100pr4,5L",Persil,32.99,,,-13.0,spar,65.0
4000417222008,ČOK.RITTER SPORT LJEŠNJ.100 g,Ritter Sport,2.39,,Hrana,Ritter Sport čokolada s lješnjakom 100 g,Ritter Sport,1.45,,,0.94,kaufland,64.8
4000417025005,ČOK.RITTER SP.MARCIPAN 100 g,Ritter Sport,2.39,,Hrana,Ritter Sport čokolada s marcipanom 100g,Ritter Sport,1.45,,,0.94,kaufland,64.8
4000417026002,ČOK.RITTER SPORT PRALINE 100 g,Ritter,2.39,,Hrana,Ritter Sport čokolada nugat 100g,Ritter sport,1.45,,,0.94,kaufland,64.8
4000417298003,ČOK.RITTER SPORT KOKOS 100 g,Ritter Sport,2.39,,Hrana,Ritter Sport čokolada kokos 100g,Ritter Sport,1.45,,,0.94,kaufland,64.8
4000417012005,ČOK.RITTER SP.RUM-LJE.GR.100 g,Ritter Sport,2.39,,Hrana,Ritter Sport čok. grožđ. lješ. rum 100 g,Ritter Sport,1.45,,,0.94,kaufland,64.8
4000417294005,ČOK.RITTER SP.KAK.MOUS.100 g,Ritter Sport,2.39,,Hrana,Ritter Sport Čokolada kakao mousse 100g,Ritter Sport,1.45,,,0.94,kaufland,64.8
3850111105807,"DET.MERI MERINO SENSITIV.2,7 L",Meri Merino,7.89,,Sredstva za čišćenje,"Meri Merino Sensitive 2,7 l",Meri Merino,4.79,,,3.1,kaufland,64.7
3850111105791,"DET.MERI MERINO COLOR 2,7 L",Meri Merino,7.89,,Sredstva za čišćenje,"Meri Merino colour 2,7 l",Meri Merino,4.79,,,3.1,kaufland,64.7
3850111105784,"DET.MERI MERINO BLACK 2,7 L",Meri Merino,7.89,,Sredstva za čišćenje,"Meri Merino black 2,7 l",Meri Merino,4.79,,,3.1,kaufland,64.7
8720181436734,DEO SP.AXE JUNGLE FRESH 150 ml,Axe,2.99,,Kozmetika,Axe Deo u spreju Jungle fresh 150 ml,Axe,4.89,,,-1.9,spar,63.5
8720181590863,DEO SPRAY AXE SUNSET 150 ml,Axe,2.99,,Kozmetika,Axe Deo u spreju Sunset fresh 150ml,Axe,4.89,,,-1.9,spar,63.5
8710908052040,DEO SPRAY AXE BLACK N.150 ml,Axe,2.99,,Kozmetika,Axe Deo sprej black night men 150ml,Axe,4.89,,,-1.9,spar,63.5
8717644277379,DEO SPRAY AXE TEMPTAT.150 ml,Axe,2.99,,Kozmetika,Axe Dezod.u spreju dark temp.men 150 ml,Axe,4.89,,,-1.9,spar,63.5
8717644013045,DEO SPRAY AXE AFRICA 150 ml,Axe,2.99,,Kozmetika,Axe Dezod.u spreju africa men 150 ml,Axe,4.89,,,-1.9,spar,63.5
8718114650708,DEO SPRAY AXE EXCITE 150 ml,Axe,2.99,,Kozmetika,Axe Dezod.u spreju excite m.150ml,Axe,4.89,,,-1.9,spar,63.5
8712561614122,DEO SPRAY AXE BLACK 150 ml,Axe,2.99,,Kozmetika,Axe Dezod.u spreju black men 150ml,Axe,4.89,,,-1.9,spar,63.5
8006530277907,PATRONE GILLETTE LABS 8/1,Gillette,29.99,,Kozmetika,Gillette Labs Britvice zamjenske 8/1,Gillette Labs,48.99,,,-19.0,spar,63.4
8001841104959,PEL.PAMPERS JP.S4 68/1,Pampers,18.5,,Toaletne potrepštine,Pampers Premium Jumbo Pack S4 68kom,Pampers,29.89,,,-11.39,spar,61.6
8001841104997,PEL.PAMPERS JP S5 58/1,Pampers,18.5,,Toaletne potrepštine,Pampers Premium Jumbo Pack S5 58kom,Pampers,29.89,,,-11.39,spar,61.6
4027800095933,PATRONE WILKINSON BLISTER 5/1,Wilkinson,0.99,,Kozmetika,Wilkinson klasič. britvice blister 5/1,Wilkinson,1.59,,,-0.6,spar,60.6
3859888279476,ŠEĆ.BIJELI KOCKA RIO PAK 500 g,,2.39,,Hrana,Riopak Šećer u kocki bijeli 500g,Riopak,1.49,,,0.9,kaufland,60.4
