barkod,naziv_spar,marka_spar,cijena_spar,akcijska_cijena_spar,kategorija_spar,naziv_kaufland,marka_kaufland,cijena_kaufland,akcijska_cijena_kaufland,kategorija_kaufland,razlika_eur,jeftiniji,razlika_posto
7322540926262,MAR. ZEWA SOFT SENSITIVE 10/1,Zewa,1.89,,Toaletne potrepštine,Zewa Maramice papir.Softis sen. 4sl.10/1,Zewa,2.35,,,-0.46,spar,24.3
8700216723602,"OMEKŠIVAČ LENOR CHERRY 1,239 L",Lenor,5.95,,Sredstva za čišćenje,"Lenor Omekšivač rub.Cherry 59 pr.1,239L",Lenor,7.39,,,-1.44,spar,24.2
8700216723985,"OME.LENOR SENSITIVE 1,491 L",Lenor,5.95,,Sredstva za čišćenje,"Lenor Omekšivač Sensitive 71pr. 1,491L",Lenor,7.39,,,-1.44,spar,24.2
8700216726900,"OMEKŠIVAČ LENOR FLORAL 1,239 L",Lenor,5.95,,Sredstva za čišćenje,"Lenor Omekš.rub.Floral 59pr.1,239L",Lenor,7.39,,,-1.44,spar,24.2
8700216724081,"OMEKŠIVAČ LENOR GOLD 1,239 L",Lenor,5.95,,Sredstva za čišćenje,"Lenor Omekšivač rublja Gold Orchid1,239L",Lenor,7.39,,,-1.44,spar,24.2
8700216724074,"OMEKŠIVAČ LENOR SPRING 1,491 L",Lenor,5.95,,Sredstva za čišćenje,"Lenor Omekšivač Spring Awak.71pr. 1,491L",Lenor,7.39,,,-1.44,spar,24.2
3858892650196,"VODA UFF+COLLAGEN 0,25 L",,2.22,,Pića,Uff Piće bezalkoh.s kolagenom250ml LIM,Uff,1.79,,,0.43,kaufland,24.0
3014260262693,BRIJAČ GILLETTE VENUS 2UP,Gillette,7.99,,Kozmetika,Gillette Venus brijač +2patrone,Gillette,9.89,,,-1.9,spar,23.8
3850111505812,REFILL SUPER JON IQ KUH.3X2g,Super Jon,2.79,,Sredstva za čišćenje,Super Jon Sredstvo za kuhinju lav. 3/1,Super Jon,3.45,,,-0.66,spar,23.7
7702018552313,PATRONE GILLETTE MACH3 5/1,Gillette,17.25,,Kozmetika,Gillette patrone Mach3 Cartridge 5/1,Gillette,13.95,,,3.3,kaufland,23.7
3850158403607,LIKER KRUŠKOVAC MARASKA 1 L,Maraska,10.02,,Pića,Maraska kruškovac 25% 1  l,Maraska,12.39,,,-2.37,spar,23.7
8000815245278,VODA MIN.ACQUA PANNA 1 L,,2.09,,Pića,Acqua Panna prir. izvorska voda 1 l PET,Acqua Panna,1.69,,,0.4,kaufland,23.7
3838447000294,"SPUŽVA GLITZI CRYSTAL,VILEDA",,2.09,,Proizvodi za kućanstvo,Vileda abraziv.spužva Glitzi crystal 1/1,Vileda,1.69,,,0.4,kaufland,23.7
5000204919721,EL.APARATIĆ RAID S TEK.2/1,Raid,10.19,,Proizvodi za kućanstvo,Raid El.aparat + teku.punj.duplo pakira.,Raid,12.59,,,-2.4,spar,23.6
3870128010253,PEL.VIOLETA MAXI 4 7-18KG 60/1,Violeta,11.99,,Toaletne potrepštine,Violeta DC Pelene air dry maxi4 60/1_OC,Double care,14.79,,,-2.8,spar,23.4
3870128010222,PEL.VIOLETA MIDI 3 4-9KG 66/1,Violeta,11.99,,Toaletne potrepštine,Violeta DC Pelene air dry midi3 66/1_OC,Violeta,14.79,,,-2.8,spar,23.4
3870128010277,PEL.VIOLETA MAX.4+ 9-20KG 56/1,Violeta,11.99,,Toaletne potrepštine,Violeta DC Pelene air dry maxi4+ 56/1_OC,Double care,14.79,,,-2.8,spar,23.4
3858882684170,JASTUČIĆ INOX POWERMAX,,1.79,,Proizvodi za kućanstvo,Rekord tim inox jastučić za ribanje,Rekord,1.45,,,0.34,kaufland,23.4
8002410034493,INTIMNE MARAMICE CHILLY 12/1,Chilly,2.99,,Toaletne potrepštine,Chilly Maramice za int.njegu Protect12/1,Chilly,3.69,,,-0.7,spar,23.4
3850111304309,DET.ČARLI ORIGINAL 450 ml,Čarli,1.29,,Sredstva za čišćenje,Čarli original 450 ml,Čarli,1.59,,,-0.3,spar,23.3
3858886505013,ČAJ AGRISTAR LAKU NOĆ 50 g,Agristar,2.65,,Pića,Agristar čaj laku noć 50 g,Agristar,2.15,,,0.5,kaufland,23.3
8006530122078,TAB.JAR PLATINUM 96/1,Jar,36.49,,Sredstva za čišćenje,Jar Kapsule za st.pranj.pos.Platinum96/1,Jar,44.99,,,-8.5,spar,23.3
3858882683883,ČISTAČ KUHINJSKI 1/1,,1.59,,Proizvodi za kućanstvo,Duoclean kuhinjski čistač,Duoclean,1.29,,,0.3,kaufland,23.3
8006530101110,TAB.JAR MIRACLE PLAT.PLUS 74/1,Jar,36.49,,Sredstva za čišćenje,Jar Kapsule za st.pranj.pos.Miracle74/1,Jar,44.99,,,-8.5,spar,23.3
3850111304163,DET.ČARLI BALSAM 450 ml,Čarli,1.29,,Sredstva za čišćenje,"Čarli det.za pranje suđa, balzam,450ml",Čarli,1.59,,,-0.3,spar,23.3
